﻿total=1147
ability	n.能力，才干；技能
snake	n.蛇 vi.蛇行
snake-charmer	n.弄蛇者
snatch	vt.抓，攫取
sneer	n.冷笑，嘲笑 vt.轻蔑
so far	到目前为止
sock	n.短袜，鞋内衬垫
soil	n.土壤，土地，地面
solid	a.坚硬的，固体的
solve	vt.解决，解答
somewhere	ad.在某处，在某时
song	n.歌曲，歌唱，声乐
sort	n. 分类，类别；
sound	n.声音，发音，噪声
soundly	ad.酣畅地，完好地
source	n.源泉，根源，出处
South Africa	南非
South American	n.南美洲
space	n.场地，空间
spaceship	n.太空船，宇宙飞船
spare	a.备用的，多余的
spark	n.火花
special	a.特设的，专门的
specially	ad.专门地，特别地
specially-made	a.特制的
spectacle	n. 眼镜； 奇观，壮观； 光景，景象；
speech	n.讲话，演说，词类
speed-boat	n.快艇
spite	n.恶意，恨，遗恨
splendid	a.极好的，辉煌的
spoil	vt.损坏，糟蹋，宠坏
sport	v.娱乐，消遣；运动
spray	vt.喷洒，喷雾 n.浪花
spring	n.弹簧，弹力，发条
spy	vt.侦察，发现，瞥见
stadium	n.露天运动场，龄期
stage	n.舞台，阶段，场所
stairs	n.楼梯
stalk	n.麦秸，植物茎
stamp	vt.踏、踩；盖章
start	vt.,vi.开始，开动
state	vt.声明，陈述 n.状态
station	n,派出所，站，台
stationary	a.静止的，固定的
statue	n.像，雕铸像
steal	vi.,vt.偷，窃取
steam	n.蒸汽
steering-wheel	n.方向盘，舵轮
step	vi.举步走，踏足，踩
sticky	a.粘的，闷热的
sticky fingers	手脚不干净的人(小偷)
stocking	n.长袜
stone	n.石头，宝石，界碑
stone head	石雕头像
store	n.商店，贷栈
storm	n.暴风雨，大雷雨
straight	ad.一直地，垂直地
strange	a.奇怪的，陌生的
stranger	n.陌生人，异乡人
strap	n.带，皮带，布带
stream	n.小溪，河流；连续
strict	a.严格的，严谨的
strike	vi.,vi.敲响；打，击
string	n.(乐器的)弦，细绳
strong	a.健壮的，坚固的
struggle	vi.,n.挣扎，奋斗
studio	n.播音室，工作室
succeed	vi.成功，顺利进行
success	n.成功，胜利
successful	a.成功的，有成绩的
successfully	ad.成功地，有成绩地
such	a.那样的，这样的
sudden	a.突然的，意外的
suffer	vi.受痛苦，遭受损失
suggest	vt.建议，提出
sum	n.金额，总数，算术题
sunshine	n.阳光，睛天
support	vt.支撑；扶持；鼓励
suppose	vt.假设，猜想，认为
suppose	vt.以为，推想；假定
sure	a.肯定的，确实的
surely	ad.必定地，无疑地
surface	n.地面，表面，平面
surprising	a.惊人的，意外的
surrounding	a.周围的 n.环境
survive	vt.经历...之后活着
survivor	n.幸存者，残存物
suspicious	a.疑心的，怀疑的
sweep	vt.(风)扫刮，打扫
swimmer	n.游泳运动员
swing	vt.使...转向，挥舞
Swiss	a.瑞士的，瑞士人的
symbol	n.象征，符号
sympathetic	a.同情的，合意的
sympathetically	ad.同情地
symptom	n.症状，征候，征兆
tail	n.尾，尾状物，辨子
taken for a ride	被骗
tap	vt.轻敲，轻叩 n.旋塞
tart	n.果馅饼，小烘饼
teach	vt.,vi.教，讲授
temper	n.脾气，情绪，气质
temple	n.圣堂，神殿，庙宇
temporarily	ad.暂时地，临时地
temptation	n.引诱，诱惑物，魔道
tent	n.帐篷，寓所，住处
terribly	ad.可怕地，厉害地
test	vt.试验，考验，化验
The Globe	n.环球剧院
the public	公众，民众
theatre	n.剧场，戏院；戏
theatre	n.剧场，戏院；戏
therefore	ad.因此，所以
thick	a.厚的，粗的，浓的
thing	n.事，物，事物
thirsty	a.贪杯的，口渴的
thoroughly	ad.彻底地，充分地
though	conj.虽然,尽管,即使
threaten	vt. vi.威胁，恐吓
thresh	vt.打(谷)；彻底讨论
ticket	n.传票，票，券，标签
ticket-office	n.售票处，票房
tight	a.紧的，密封的
tiny	a.小的，极小的
to pay the bill	付帐
ton	n.吨，货物体积
tone	n.语调，音调，音质
tooth	n.牙齿，嗜好
top	n.顶部，尖端，头
total	adj. 总计的（金额等）； 全部的；
touch	vt.摸，碰，接触
towards	prep.朝，走向，近...
tower	n.塔，城楼，堡垒
track	n.行踪，痕迹，途径
traffic	n.交通，运输 vi.交易
train	vt.培养，训练 n.列车
transport	vt.运送，运输
trap	vt.使陷落，诱捕
treasure	n.财宝 vt.珍藏，珍贵
tree-trunk	n.树干
tremendous	a.巨人的，惊人的
tricycle	n. 三轮车
trouble	n.麻烦，纠纷，烦恼
truant	n.逃学，逃学者
TRUE	a.真的，准确的 n.正
trunk	n.大衣箱，行李箱
truth	n. 真理； 真相，事实；
tune	vi.吹奏管乐
tunnel	n.隧道，坑道
ugliest	a.最丑的，最丑恶的
unaware	a.未觉察到的
understanding	n.理解，领悟，谅解
underwater	a.在水下的
unfortunately	ad.不幸地，倒霉地
unhurt	a.没有负伤的
uniform	n.军服，制服
unimaginative	a.缺乏想象力的
university	n.大学，大学校舍
unload	vt.卸(货),解除..负担
unlucky	a.倒霉的，不顺利的
unnecessary	a.不必要的，无用的
unpleasant	a.使人不愉快的
unsmiling	a.板着脸，不笑的
until	prep.直到...为止
until	prep.直到...为止
unusual	a.不寻常的，不常见的
unwillingly	ad.不情愿地，勉强地
upset	vt.使心烦，弄翻
upside-down	a.颠倒的，混乱的
urge	vt.怂恿，极力主张
used	a.习惯于；用过了的
useful	a.有用的，有益的
usual	a.通常的，惯例的
Utah	犹他(美国一州名)
valuable	a.有价值的，贵重的
value	n.价值，价格，购买力
variety	n.变化，多样性，种种
variety show	n.杂耍
various	a.不同的，各种各样的
ventilate	vt.使通风，使换气
ventilation	n.通风，通风设备
versus	prep.(比赛中的)对...
vibration	n.震动，摆动，颤动
vicar	n.教区牧师；代理人
victim	n.受害者，牺牲品
view	n.景色，看，眺望
villager	n.村民，乡下人
violenly	ad.猛烈地，凶暴地
violently	ad.猛烈地；剧烈地
virtue	n.美德，贞操
visit	vi.,vi.访问，参观
volcano	n.火山
volt	n.伏特
volunteer	vi.自愿 n.志愿者
waiter	n.侍者，服务员，盆
waiting room	n. 等候室，候诊室，候车室
wake	vi.醒，醒来，警觉
wake up	叫醒，醒来，振作起来
wallet	n.钱夹，皮夹子
wander	vi.无目的的漫步
war	n.战争，军事学；冲突
waste	n.浪费，滥用；损耗
water-skiing	n.滑水运动
wax	n.蜡
weak	a.软弱的，衰弱的
wedding	n.婚礼，结婚，结合
weigh	vi.重若干，权衡
weight	n.重物，重量；锤
welcome	n.,vt,int.欢迎，迎接
well-dressed	a.穿着讲究的
well-ventilated	a.通风好的
Welsh	a.威尔士的
wheel	n.车轮，轮，方向盘
whenever	conj.每当，无论如何
whether	conj.是..呢还是..呢
whether...or not	不管是不是，无论如何
whole	a.整个的，完全的
wicked	a.邪恶的，恶劣的
wide	a.宽广的，广阔的
win	vi.赢，获胜，成功
wind	vt.缠绕，上(发条)
wind	vt.绕...弯曲前进
wing	n.机翼，翅膀；厢房
wire	n. 金属丝； 电线；
without	prep.没有；在...外面
wonder	vi.,vt.感到惊奇,怀疑
wonderful	a.极好的，惊人的
wooden	a.木头的，木制的
woollen	a.羊毛的，毛织的
work hard	努力工作
work-shop	n.车间(干重活的地方)
worthless	a.无价值的，无用的
would	v.aux.将，愿，要
wrap	vt. vi.包，裹，缠
yard	n.码(3英尺)；天井
